,name,carbohydrate,total_fat,calories,protein,
5012,"Fast foods, round pieces or patty, hash browns, potatoes",28.88 g,17g,272,2.58 g,
5013,"Sweet potato, without salt, flesh, baked in skin, cooked",20.71 g,0.2g,90,2.01 g,
5014,"Infant formula, ready-to-feed, store brand, PBM PRODUCTS",6.39 g,3.5g,63,1.40 g,
5015,"Bread, made with margarine, prepared from recipe, banana",54.60 g,11g,326,4.30 g,
5016,"Beans, drained solids, regular pack, canned, green, snap",4.32 g,0.5g,22,1.12 g,
5017,"Turkey, roasted, cooked, meat and skin, leg, all classes",0.00 g,9.8g,208,27.87 g,
5018,"Beans, drained solids, canned, mature seeds, red, kidney",21.49 g,1.1g,124,7.98 g,
5019,"KEEBLER, Cheese, Pretzel Crackers, FLIPSIDES, TOWN HOUSE",61.30 g,23g,476,8.00 g,
5020,"Cookies, special dietary, commercially prepared, oatmeal",69.90 g,18g,449,4.80 g,
5021,"Soup, ready to serve, less/reduced sodium, chicken broth",0.38 g,0g,7,1.36 g,
5022,"Peas, rinsed in tap water, drained solids, canned, green",11.82 g,1g,71,4.33 g,
5023,"Soymilk, vitamins A and D, with added calcium, chocolate",9.95 g,1.5g,63,2.26 g,
5024,"Sausage,  lower sodium, Italian style, chicken or turkey",14.25 g,4.5g,183,21.43 g,
5025,"CAMPBELL'S, condensed, 98% Fat Free Cream of Celery Soup",7.26 g,2.4g,56,0.81 g,
5026,"CAMPBELL'S, condensed, 98% Fat Free Broccoli Cheese Soup",9.68 g,1.2g,56,1.61 g,
5027,"Asparagus, without salt, drained, boiled, cooked, frozen",1.92 g,0.4g,18,2.95 g,
5028,"SUNSHINE, Reduced Fat, 100 Calorie Right Bites, CHEEZ-IT",67.00 g,15g,452,13.30 g,
5029,"Finger snacks, apple and cinnamon, GERBER GRADUATE PUFFS",85.79 g,2.3g,389,6.19 g,
5030,"KASHI Pizza, unprepared, frozen, Mushroom Trio & Spinach",24.60 g,8.3g,222,12.70 g,
5031,CAMPBELL'S Homestyle Mexican Style Chicken Tortilla Soup,8.16 g,0.8g,53,2.86 g,
5032,"Bread, no salt, low sodium, commercially prepared, white",49.60 g,3.6g,267,8.20 g,
5033,"Corn, drained solids, whole kernel, canned, white, sweet",15.06 g,1.4g,71,2.32 g,
5034,"Beverages, prepared with water, regular, instant, coffee",0.34 g,0g,2,0.10 g,
5035,"Beverages, restaurant-prepared, espresso, brewed, coffee",1.67 g,0.2g,9,0.12 g,
5036,"SUNSHINE, Duoz Sharp Cheddar Parmesan Crackers, CHEEZ-IT",60.50 g,25g,500,9.70 g,
5037,"Lima beans, unprepared, fordhook, frozen, immature seeds",19.83 g,0.4g,106,6.40 g,
5038,"Cereals ready-to-eat, Apple Cinnamon CHEX, GENERAL MILLS",82.80 g,6.5g,408,4.69 g,
5039,"Beans, without salt, boiled, cooked, mature seeds, white",25.09 g,0.4g,139,9.73 g,
5040,"CAMPBELL'S Red and White, condensed, Beefy Mushroom Soup",4.76 g,1.6g,40,2.38 g,
5041,"Candies, M&M's Milk Chocolate Candies, MARS SNACKFOOD US",71.19 g,21g,492,4.33 g,
5042,"PILLSBURY, refrigerated dough, Cinnamon Rolls with Icing",53.42 g,11g,330,4.34 g,
5043,"Infant formula, powder, PROTECT PLUS, GOOD START, GERBER",57.00 g,26g,512,11.30 g,
5044,"Chicken, raw, meat and skin and giblets and neck, capons",0.08 g,17g,232,18.51 g,
5045,"Fish, dry heat, cooked, mixed species, Pacific, rockfish",0.00 g,1.6g,109,22.23 g,
5046,"Agutuk, meat-caribou (Alaskan ice cream) (Alaska Native)",0.90 g,19g,258,21.70 g,
5047,"Pancakes, complete (includes buttermilk), dry mix, plain",73.65 g,3.1g,368,9.77 g,
5048,"Babyfood, strained, guava and papaya with tapioca, fruit",17.00 g,0.1g,63,0.20 g,
5049,"Babyfood, strained, bananas with apples and pears, fruit",19.31 g,0.2g,83,0.90 g,
5050,"Pork, raw, stomach, variety meats and by-products, fresh",0.00 g,10g,159,16.85 g,
5051,"Flan, prepared with whole milk, dry mix, caramel custard",18.68 g,3g,113,2.95 g,
5052,"Beverages, sweetened, lemon, decaffeinated, instant, tea",98.55 g,0.7g,401,0.12 g,
5053,"Pickles, sweet, with cauliflower onion mustard, chowchow",26.64 g,0.9g,121,1.50 g,
5054,"Beverages, sweetened, milk based, ready to drink, coffee",12.60 g,1.4g,71,1.98 g,
5055,"Babyfood, toddlers, mashed cheddar potatoes and broccoli",7.47 g,1.5g,48,1.11 g,
5056,"Turkey thigh, roasted, cooked, meat and skin, pre-basted",0.00 g,8.5g,157,18.80 g,
5057,"Alcoholic Beverage, Cabernet Sauvignon, red, table, wine",2.60 g,0g,83,0.07 g,
5058,"Cereals, dry, 10 minute cooking, regular, CREAM OF WHEAT",76.50 g,1.5g,370,10.50 g,
5059,"Babyfood, strained, macaroni and tomato and beef, dinner",9.45 g,1.5g,61,2.36 g,
5060,"Squash, with salt, mashed, boiled, cooked, acorn, winter",8.79 g,0.1g,34,0.67 g,
5061,"Cereals ready-to-eat, Chocolate, CHEERIOS, GENERAL MILLS",83.50 g,5.1g,380,5.80 g,
5062,"CAMPBELL'S Red and White, condensed, Cream of Onion Soup",8.06 g,4.8g,81,0.81 g,
5063,"Sauce, soy sauce, water, made from peanut butter, peanut",22.02 g,16g,257,6.31 g,
5064,"Cookie, with chocolate icing or filling, butter or sugar",68.83 g,24g,503,4.10 g,
5065,"Cereals ready-to-eat, BERRY COLOSSAL CRUNCH, MALT-O-MEAL",86.55 g,4.2g,396,4.19 g,
5066,"KASHI, Frozen Entree, Chicken Enchilada with Ancho Sauce",14.90 g,3.7g,111,4.90 g,
5067,"Beverages, whey and milk based, Chocolate-flavored drink",10.68 g,0.4g,49,0.64 g,
5068,"Soup, ready-to-serve, reduced sodium, canned, minestrone",9.00 g,0.8g,50,2.00 g,
5069,"Figs, solids and liquids, extra heavy syrup pack, canned",27.86 g,0.1g,107,0.38 g,
5070,"Babyfood, prepared with whole milk, high protein, cereal",11.60 g,3.8g,111,8.70 g,
5071,"Orange juice, undiluted, unsweetened, frozen concentrate",35.19 g,0.3g,148,2.40 g,
5072,"Beans, without salt, boiled, cooked, mature seeds, black",23.71 g,0.5g,132,8.86 g,
5073,"PEPPERIDGE FARM, Cheddar, Baked Snack Crackers, Goldfish",66.20 g,16g,457,11.71 g,
5074,"Yogurt, fortified with vitamin D, nonfat milk, chocolate",23.53 g,0g,112,3.53 g,
5075,"Fish, (Alaska Native), kippered, with skin, king, salmon",0.00 g,13g,209,23.19 g,
5076,"Frozen novelties, SLIM-A-BEAR Vanilla Sandwich, KLONDIKE",42.75 g,5.9g,239,3.90 g,
5077,"Ice creams, Vanilla Fudge Twirl, No Sugar Added, BREYERS",25.63 g,5.7g,153,3.53 g,
5078,"Infant Formula, powder, GENTLE PLUS, GERBER GOOD START 2",57.10 g,25g,492,10.80 g,
5079,"Cereals ready-to-eat, Fruit & Yogurt, SPECIAL K, KELLOGG",85.30 g,2.9g,367,7.10 g,
5080,"Restaurant, pupusas con frijoles (pupusas, bean), Latino",31.49 g,9g,229,5.59 g,
5081,"HORMEL ALWAYS TENDER, Teriyaki-Flavored, Pork Tenderloin",4.63 g,3.1g,119,18.20 g,
5082,"Babyfood, toddler, spaghetti and tomato and meat, dinner",10.80 g,1g,75,5.30 g,
5083,"Beans, without salt, boiled, cooked, mature seeds, pinto",26.22 g,0.7g,143,9.01 g,
5084,"Snacks, mixed flavors, chewy, KASHI TLC Bar, granola bar",53.26 g,16g,429,18.57 g,
5085,"Oil, filling fat, palm kernel (hydrogenated), industrial",0.00 g,100g,884,0.00 g,
5086,"Cereals, dry, QUAKER/MOTHER'S Oat Bran, Oat Bran, QUAKER",62.94 g,8g,364,17.03 g,
5087,"PREGO Pasta, ready-to-serve, Mini Meatball Italian Sauce",10.00 g,2.3g,77,3.08 g,
5088,"Beverages, with added ascorbic acid, lemon, instant, tea",97.60 g,0.3g,385,0.60 g,
5089,"Cookies, soft-type, commercially prepared, peanut butter",57.70 g,24g,457,5.30 g,
5090,"AUSTIN, sandwich-type, Cheddar Cheese on Cheese Crackers",60.00 g,25g,494,7.50 g,
5091,"AUSTIN, sandwich-type, Chocolatey Peanut Butter Crackers",66.20 g,21g,479,7.70 g,
5092,"Infant formula, powder, with iron, ENFAMIL, MEAD JOHNSON",56.20 g,27g,520,10.80 g,
5093,"SUNSHINE, Cheez-It Mixx and Cheesy Pizza Crackers, GRIPZ",63.70 g,21g,484,10.80 g,
5094,CAMPBELL'S Homestyle Chicken with White & Wild Rice Soup,6.94 g,0.4g,41,2.45 g,
5095,"Winged beans, without salt, boiled, cooked, mature seeds",14.94 g,5.8g,147,10.62 g,
5096,"Cookies, regular, with creme filling, chocolate sandwich",71.00 g,19g,464,5.21 g,
5097,"Frozen novelties, restaurant-prepared, italian, ice type",13.50 g,0g,53,0.03 g,
5098,"Potatoes, without salt, skin, cooked in skin, microwaved",29.63 g,0.1g,132,4.39 g,
5099,"Lamb, cooked, separable fat, fresh, imported, Australian",0.00 g,66g,639,9.42 g,
5100,"Fish, bones removed (Alaska Native), canned, red, salmon",0.00 g,5.8g,161,27.31 g,
5101,"Infant Formula, powder, GENTLEASE, ENFAMIL, MEAD JOHNSON",56.00 g,27g,514,11.80 g,
5102,"Chicken, roasted, cooked, meat only, dark meat, roasting",0.00 g,8.8g,178,23.25 g,
5103,"Cake, chocolate with frosting, creme-filled, snack cakes",60.31 g,16g,399,3.63 g,
5104,"Pork, raw, kidneys, variety meats and by-products, fresh",0.00 g,3.3g,100,16.46 g,
5105,"Sauce, ready to serve, mild, red, enchilada, OLD EL PASO",5.04 g,0.7g,29,0.59 g,
5106,"Mushrooms, raw, exposed to ultraviolet light, portabella",3.87 g,0.4g,22,2.11 g,
5107,"Fruit juice smoothie, strawberry banana, BOLTHOUSE FARMS",12.37 g,0.3g,52,0.44 g,
5108,"Margarine, with salt, stick, composite, 80% fat, regular",0.70 g,81g,717,0.16 g,
5109,"Cereals ready-to-eat, 25% Less Sugar TRIX, GENERAL MILLS",85.50 g,4g,383,5.40 g,
5110,"Cereals ready-to-eat, KELLOGG'S CINNABON cereal, KELLOGG",83.30 g,7.3g,410,5.69 g,
5111,"Puddings, prepared with 2% milk, instant, dry mix, lemon",20.20 g,1.7g,107,2.76 g,
5112,"Mollusks, breaded and fried, cooked, mixed species, clam",10.33 g,11g,202,14.24 g,
5113,"KELLOGG'S, Egg & Cheese, Bacon, Biscuit Scramblers, EGGO",38.30 g,7.9g,258,8.80 g,
5114,"KEEBLER, Peanut Butter, Jumbo Fudge Sticks, FUDGE SHOPPE",60.60 g,30g,537,7.10 g,
5115,"Macaroni and cheese, prepared, box mix with cheese sauce",23.10 g,5g,164,6.68 g,
5116,"Seeds, without salt, dry roasted, sunflower seed kernels",24.07 g,50g,582,19.33 g,
5117,"Seeds, without salt, oil roasted, sunflower seed kernels",22.89 g,51g,592,20.06 g,
5118,"Salad dressing, light, blue or roquefort cheese dressing",13.20 g,2.7g,86,2.10 g,
5119,"Tangerines, light syrup pack, canned, (mandarin oranges)",16.19 g,0.1g,61,0.45 g,
5120,"Cereals ready-to-eat, RALSTON Enriched Wheat Bran flakes",79.77 g,3.4g,310,10.21 g,
5121,"Cereals ready-to-eat, Frosted Mini SPOONERS, MALT-O-MEAL",81.81 g,1.9g,354,9.09 g,
5122,"Wocas, yellow pond lily (Klamath), Oregon, cooked, tuber",7.06 g,0.4g,34,0.69 g,
5123,"Granola bar, peanut butter, milk chocolate coated, soft",54.10 g,31g,536,9.60 g,
5124,"Chicken, roasted, cooked, skin only, broilers or fryers",0.00 g,41g,454,20.36 g,
5125,"Corn, no salt added, cream style, canned, yellow, sweet",18.13 g,0.4g,72,1.74 g,
5126,"Corn, no salt added, vacuum pack, canned, yellow, sweet",19.44 g,0.5g,79,2.41 g,
5127,"Corn, with salt, drained, boiled, cooked, yellow, sweet",20.98 g,1.5g,96,3.41 g,
5128,"Brussels sprouts, without salt, drained, boiled, cooked",7.10 g,0.5g,36,2.55 g,
5129,"Yogurt, fortified with vitamin D, nonfat, fruit variety",19.00 g,0.2g,95,4.40 g,
5130,"Beverages, Diet Strawberry Kiwi, V8 SPLASH Juice Drinks",1.26 g,0g,4,0.00 g,
5131,"Cereals ready-to-eat, HONEY NUT CHEERIOS, GENERAL MILLS",79.69 g,5g,376,8.85 g,
5132,"Cereals ready-to-eat, KELLOGG'S COCOA KRISPIES, KELLOGG",87.90 g,2.7g,389,4.60 g,
5133,"KEEBLER, Reduced Fat, Vienna Fingers with Creme Filling",78.10 g,15g,465,4.50 g,
5134,"KEEBLER, Roasted Almond, Nut Crisp Crackers, WHEATABLES",66.50 g,20g,472,8.40 g,
5135,"Soup, single brand, condensed, canned, cream of chicken",7.70 g,6.5g,99,2.40 g,
5136,"Cereals ready-to-eat, HONEY GRAHAM SQUARES, MALT-O-MEAL",74.68 g,10g,398,4.46 g,
5137,"Salad dressing, KRAFT MIRACLE WHIP FREE Nonfat Dressing",15.50 g,2.7g,84,0.20 g,
5138,"Salad dressing, KRAFT Mayo Fat Free Mayonnaise Dressing",15.80 g,0g,64,0.20 g,
5139,"Chicken, raw, meat and skin, breast, broilers or fryers",0.00 g,9.3g,172,20.85 g,
5140,"Mungo beans, without salt, boiled, cooked, mature seeds",18.34 g,0.6g,105,7.54 g,
5141,"Peas, without salt, boiled, cooked, mature seeds, split",21.10 g,0.4g,118,8.34 g,
5142,"Mollusks, moist heat, cooked, mixed species, cuttlefish",1.64 g,1.4g,158,32.48 g,
5143,"Pork, raw, separable lean only, whole, leg (ham), fresh",0.00 g,5.4g,136,20.48 g,
5144,"Beans, without salt, boiled, cooked, mature seeds, pink",27.91 g,0.5g,149,9.06 g,
5145,"Soup, prepared with equal volume water, low sodium, pea",9.88 g,1.1g,62,3.20 g,
5146,"Cereals ready-to-eat, HONEY NUT CLUSTERS, GENERAL MILLS",85.20 g,2g,374,7.70 g,
5147,"Snacks, peanut butter, KUDOS Whole Grain Bars, M&M MARS",64.69 g,21g,463,5.88 g,
5148,"Muffins, toasted, toaster-type with raisins, wheat bran",55.50 g,9.4g,313,5.50 g,
5149,"BURGER KING, Egg and Cheese, CROISSAN'WICH with Sausage",15.90 g,22g,308,12.09 g,
5150,"Soy protein concentrate, produced by alcohol extraction",25.41 g,0.5g,328,63.63 g,
5151,"Sauce, peanuts, sugar, water, made from coconut, peanut",28.46 g,6.3g,179,2.02 g,
5152,"Alcoholic beverage, Sauvignon Blanc, white, table, wine",2.05 g,0g,81,0.07 g,
5153,"Pizza, cooked, frozen, regular crust, pepperoni topping",24.69 g,13g,274,14.38 g,
5154,"Chicken, stewed, cooked, meat only, light meat, stewing",0.00 g,8g,213,33.04 g,
5155,"Fast foods, with tartar sauce and cheese, fish sandwich",26.39 g,15g,279,11.26 g,
5156,"Fast foods, plain with pickles, chicken fillet sandwich",20.89 g,11g,250,16.28 g,
5157,"Snacks, KELLOGG'S RICE KRISPIES TREATS Squares, KELLOGG",80.50 g,9g,414,3.40 g,
5158,"CARRABBA'S ITALIAN GRILL, spaghetti with pomodoro sauce",18.63 g,1.8g,104,3.42 g,
5159,"Bread, refrigerated, commercially prepared, plain, naan",50.43 g,5.7g,291,9.62 g,
5160,"Pork, raw, spleen, variety meats and by-products, fresh",0.00 g,2.6g,100,17.86 g,
5161,"Corn, unprepared, kernels on cob, frozen, yellow, sweet",23.50 g,0.8g,98,3.28 g,
5162,"Lamb, cooked, external fat, fresh, imported, Australian",0.00 g,52g,538,16.90 g,
5163,"Cereals, without salt, cooked with water, CREAM OF RICE",11.40 g,0.1g,52,0.90 g,
5164,"Yardlong beans, with salt, boiled, cooked, mature seeds",21.09 g,0.5g,118,8.29 g,
5165,"KEEBLER, soft, Chocolate Chip Cookie, BAKER'S TREASURES",69.90 g,16g,437,5.30 g,
5166,"KEEBLER, soft, Oatmeal Raisin Cookie, BAKER'S TREASURES",69.10 g,14g,420,6.10 g,
5167,"Ginger root, with artificial sweetener, canned, pickled",4.83 g,0.1g,20,0.33 g,
5168,"Cowpeas, with salt, drained, boiled, cooked, leafy tips",2.80 g,0.1g,22,4.67 g,
5169,"Babyfood, toddler, potatoes with cheese and ham, dinner",11.97 g,2g,78,3.50 g,
5170,"New zealand spinach, with salt, drained, boiled, cooked",2.13 g,0.2g,12,1.30 g,
5171,"Peas, with salt, drained, boiled, cooked, edible-podded",6.46 g,0.2g,40,3.27 g,
5172,"Beverages, canned, pineapple and grapefruit juice drink",11.60 g,0.1g,47,0.20 g,
5173,"Beverages, sweetened, lemon, ready-to-drink, black, tea",10.80 g,0.2g,45,0.00 g,
5174,"Pineapple, solids and liquids, heavy syrup pack, canned",20.20 g,0.1g,78,0.35 g,
5175,"Beans, without salt, boiled, cooked, mature seeds, navy",26.05 g,0.6g,140,8.23 g,
5176,"Cereals ready-to-eat, SPECIAL K Protein Plus, KELLOGG'S",60.60 g,2.6g,359,31.20 g,
5177,"KEEBLER, Holiday/Spiderman, Fudge Stripes, FUDGE SHOPPE",68.80 g,24g,498,4.10 g,
5178,"Peppers, with salt, drained, boiled, cooked, red, sweet",6.11 g,0.2g,26,0.92 g,
5179,"Game meat, raw, composite of cuts, domesticated, rabbit",0.00 g,5.6g,136,20.05 g,
5180,"Cherries, solids and liquids, water pack, canned, sweet",11.76 g,0.1g,46,0.77 g,
5181,"Cherries, solids and liquids, juice pack, canned, sweet",13.81 g,0g,54,0.91 g,
5182,"Light Ice Cream, blended with cookie pieces, soft serve",25.55 g,5.7g,169,3.97 g,
5183,"Orange-grapefruit juice, unsweetened, canned or bottled",10.28 g,0.1g,43,0.60 g,
5184,"Cereals ready-to-eat, KELLOGG'S FROSTED FLAKES, KELLOGG",89.20 g,1.7g,369,3.96 g,
5185,"Seeds, partially defatted (glandless), cottonseed flour",40.54 g,6.2g,359,40.96 g,
5186,"KELLOGG'S, Sour Cream & Onion, Cracker Chips, SPECIAL K",74.30 g,8g,365,7.10 g,
5187,"Cauliflower, with salt, drained, boiled, cooked, frozen",3.16 g,0.2g,17,1.61 g,
5188,"Beverages, peanut flavor, canned, Meal supplement drink",14.74 g,3.1g,101,3.50 g,
5189,"Turkey, roasted, cooked, meat only, thigh, retail parts",0.46 g,6.3g,159,25.14 g,
5190,"Apricots, uncooked, sulfured, dehydrated (low-moisture)",82.89 g,0.6g,320,4.90 g,
5191,"LOMA LINDA Tender Rounds with Gravy, unprepared, canned",7.40 g,5.6g,145,16.30 g,
5192,"USDA Commodity, heated, frozen, breaded, salmon nuggets",13.96 g,12g,212,12.69 g,
5193,"Pork, raw, separable lean only, tenderloin, loin, fresh",0.00 g,2.2g,109,20.95 g,
5194,"Restaurant, pupusas con queso (pupusas, cheese), Latino",22.39 g,13g,256,11.72 g,
5195,"Beans, with salt, drained, boiled, cooked, yellow, snap",7.88 g,0.3g,35,1.89 g,
5196,"Fish, dry heat, cooked, mixed species, freshwater, bass",0.00 g,4.7g,146,24.18 g,
5197,"Babyfood, junior, spaghetti and tomato and meat, dinner",11.42 g,1.4g,68,2.57 g,
5198,"Snacks, mixed flavors, chewy, KASHI GOLEAN, granola bar",63.42 g,7.7g,390,16.67 g,
5199,"Snacks, all flavors, QUAKER OATMEAL TO GO, granola bars",75.47 g,6.7g,389,6.67 g,
5200,"KEEBLER, Reduced Fat, Pecan Shortbread Cookies, SANDIES",67.10 g,22g,488,6.70 g,
5201,"Cereals ready-to-eat, Toasted Multigrain Crisps, QUAKER",74.90 g,5.1g,372,12.38 g,
5202,"Cereals ready-to-eat, cinnamon, Oatmeal Squares, QUAKER",78.09 g,4.9g,379,11.23 g,
5203,"Cookies, without raisins, prepared from recipe, oatmeal",66.40 g,18g,447,6.80 g,
5204,"Beans, low sodium, canned, mature seeds, great northern",21.02 g,0.4g,114,7.37 g,
5205,"MORNINGSTAR FARMS Grillers Original, unprepared, frozen",8.50 g,9.3g,213,23.90 g,
5206,"Babyfood, toddler, and vegetables, rice, turkey, dinner",7.50 g,1.6g,60,3.80 g,
5207,"Salad dressing, reduced calorie, honey mustard dressing",28.26 g,10g,207,0.98 g,
5208,"Pasta with Sliced Franks in Tomato Sauce, canned entree",12.70 g,2.4g,90,4.37 g,
5209,"Cereals, dry, Raisin and Spice, Instant Oatmeal, QUAKER",75.68 g,4g,360,9.11 g,
5210,"AUSTIN, sandwich-type, Cheddar Cheese on Wheat Crackers",61.40 g,25g,495,7.90 g,
5211,"AUSTIN, sandwich-type, Grilled Cheese on Wafer Crackers",62.00 g,24g,493,7.90 g,
5212,"Chicken, meat only, drumstick, BBQ, rotisserie, broiler",0.00 g,6.8g,172,27.71 g,
5213,"Hyacinth beans, with salt, boiled, cooked, mature seeds",20.70 g,0.6g,117,8.14 g,
5214,"SUNSHINE, Reduced Fat Crackers, White Cheddar, CHEEZ-IT",72.00 g,14g,443,9.70 g,
5215,"Beverages, frozen concentrate, citrus fruit juice drink",40.20 g,0.1g,162,1.20 g,
5216,"Babyfood, finger snacks cereal fortified, baked product",76.68 g,9.9g,421,6.40 g,
5217,"Chicken, breast meat and skin, BBQ, rotisserie, broiler",0.09 g,7.7g,175,26.37 g,
5218,"Grapefruit juice, unsweetened, canned or bottled, white",7.93 g,0.1g,34,0.58 g,
5219,"Pork, unheated, extra lean, boneless, steak, ham, cured",0.00 g,4.3g,122,19.56 g,
5220,"Yambean (jicama), without salt, drained, boiled, cooked",8.82 g,0.1g,38,0.72 g,
5221,"CAMPBELL'S Red and White, condensed, Chicken Gumbo Soup",7.94 g,0.8g,48,1.59 g,
5222,"Toaster Pastries, S'mores, KELLOGG'S POP TARTS, KELLOGG",69.60 g,11g,392,6.20 g,
5223,"Pork, raw, tongue, variety meats and by-products, fresh",0.00 g,17g,225,16.30 g,
5224,"Fast foods, soft, lettuce and cheese, taco with chicken",19.69 g,6.4g,189,13.30 g,
5225,"Restaurant, cheese ravioli with marinara sauce, Italian",18.50 g,5.7g,154,7.07 g,
5226,"Beef, boiled, cooked, sweetbread, imported, New Zealand",0.00 g,30g,318,12.53 g,
5227,"Drumstick leaves, without salt, drained, boiled, cooked",11.15 g,0.9g,60,5.27 g,
5228,"Cake, prepared from recipe with coconut frosting, white",63.20 g,10g,356,4.40 g,
5229,"SUBWAY, tuna sub on white bread with lettuce and tomato",15.95 g,12g,221,12.33 g,
5230,"Snacks, chocolate chip, KUDOS Whole Grain Bar, M&M MARS",72.31 g,13g,420,4.47 g,
5231,"Cranberry, raw (Alaska Native), low bush or lingenberry",12.20 g,0.5g,55,0.40 g,
5232,"Cereals, with salt, cooked with water, enriched, farina",10.92 g,0.3g,53,1.82 g,
5233,"Cowpeas (blackeyes), unprepared, frozen, immature seeds",25.13 g,0.7g,139,8.98 g,
5234,"AUSTIN, sandwich-type, Peanut Butter on Cheese Crackers",59.00 g,25g,492,10.80 g,
5235,"Dandelion greens, without salt, drained, boiled, cooked",6.40 g,0.6g,33,2.00 g,
5236,"Veal, raw, separable lean and fat, blade chop, shoulder",0.03 g,7.6g,148,18.72 g,
5237,"Jams, sweetened with fruit juice, marmalades, preserves",52.93 g,0g,212,0.00 g,
5238,"CAMPBELL'S CHUNKY Soups, HEALTHY REQUEST Vegetable Soup",9.80 g,0.4g,49,1.63 g,
5239,"Soup, ready-to-serve, canned, new england, clam chowder",8.28 g,3.9g,79,2.61 g,
5240,"Mushrooms, without salt, drained, boiled, cooked, white",5.29 g,0.5g,28,2.17 g,
5241,"Peas, with salt, drained, boiled, cooked, frozen, green",14.26 g,0.3g,78,5.15 g,
5242,"Sweet rolls, refrigerated dough with frosting, cinnamon",51.60 g,12g,333,5.00 g,
5243,"Pineapple, solids and liquids, light syrup pack, canned",13.45 g,0.1g,52,0.36 g,
5244,"Pie crust, unbaked, prepared from recipe, standard-type",42.30 g,31g,469,5.70 g,
5245,"Potatoes, with salt, flesh, cooked without skin, boiled",20.01 g,0.1g,86,1.71 g,
5246,"Nutritional supplement for people with diabetes, liquid",11.88 g,3.1g,88,4.40 g,
5247,"Beverages, Lemonade, Minute Maid, The COCA-COLA company",12.08 g,0g,46,0.00 g,
5248,"Bread, salvadoran sweet cheese (quesadilla salvadorena)",47.84 g,17g,374,7.12 g,
5249,"Chicken, raw, meat only, light meat, broilers or fryers",0.00 g,1.7g,114,23.20 g,
5250,"DOMINO'S 14"" Pepperoni Pizza, Classic Hand-Tossed Crust",31.86 g,11g,273,11.25 g,
5251,"AUSTIN, sandwich-type, Cheddar Cheese on Wafer Crackers",62.60 g,23g,489,7.80 g,
5252,"AUSTIN, sandwich-type, Peanut Butter on Toasty Crackers",60.20 g,24g,489,10.60 g,
5253,"CAMPBELL'S, condensed, Cream of Chicken with Herbs Soup",7.26 g,3.2g,65,1.61 g,
5254,"Chicken, stewed, cooked, skin only, broilers or fryers",0.00 g,33g,363,15.22 g,
5255,"Corn, regular pack, cream style, canned, yellow, sweet",18.13 g,0.4g,72,1.74 g,
5256,"Corn, regular pack, vacuum pack, canned, yellow, sweet",19.44 g,0.5g,79,2.41 g,
5257,"Turkey, roasted, cooked, meat only, wing, retail parts",0.00 g,5.5g,170,30.17 g,
5258,"Fast foods, regular patty; plain, cheeseburger; double",20.80 g,17g,308,17.16 g,
5259,"Imitation cheese, low cholesterol, american or cheddar",1.00 g,32g,390,25.00 g,
5260,"Fish, kippered (Alaska Native), (sockeye), red, salmon",0.00 g,4.8g,141,24.50 g,
5261,"Pork, raw, separable lean only, whole, shoulder, fresh",0.00 g,7.1g,148,19.55 g,
5262,"KEEBLER, Toasted Pecan, Nut Crisp Crackers, WHEATABLES",65.70 g,22g,483,7.60 g,
5263,"Ice creams, Chocolate Caramel, No Sugar Added, BREYERS",25.17 g,5.8g,151,3.54 g,
5264,"Mung beans, without salt, boiled, cooked, mature seeds",19.15 g,0.4g,105,7.02 g,
5265,"Beans, solids and liquids, canned, mature seeds, pinto",15.18 g,0.6g,82,4.60 g,
5266,"USDA Commodity, raw, frozen, fine/coarse, ground, pork",0.00 g,17g,221,15.41 g,
5267,"Cornmeal, enriched, plain, bolted, self-rising, yellow",70.28 g,3.4g,334,8.28 g,
5268,"Beverages, French Vanilla Cafe, instant, coffee, KRAFT",74.60 g,19g,481,2.50 g,
5269,"Chicken, raw, meat and skin, thigh, broilers or fryers",0.25 g,17g,221,16.52 g,
5270,"Squash, without salt, baked, cooked, butternut, winter",10.49 g,0.1g,40,0.90 g,
5271,"Corn, no salt added, vacuum pack, canned, white, sweet",19.44 g,0.5g,79,2.41 g,
5272,"Corn, no salt added, cream style, canned, white, sweet",18.13 g,0.4g,72,1.74 g,
5273,"Corn, with salt, drained, boiled, cooked, white, sweet",21.71 g,1.4g,97,3.34 g,
5274,"Cereals ready-to-eat, KELLOGG'S KRAVE chocolate cereal",76.10 g,11g,397,7.00 g,
5275,"DENNY'S, from kid's menu, star shaped, chicken nuggets",13.59 g,29g,377,16.27 g,
5276,"Cereals ready-to-eat, TOTAL Raisin Bran, GENERAL MILLS",76.80 g,1.6g,312,5.60 g,
5277,"Juice, with added ascorbic acid, apple and grape blend",12.46 g,0.1g,50,0.16 g,
5278,"Pasta, TINKYADA, cooked, brown rice flour, gluten-free",32.20 g,1.7g,138,3.46 g,
5279,"Veal, grilled, cooked, separable lean only, chop, loin",0.07 g,4.4g,159,29.75 g,
5280,"Rolls, calcium-fortified, whole grain white, hamburger",46.50 g,3.5g,255,9.30 g,
5281,"Chicken, thigh meat and skin, BBQ, rotisserie, broiler",0.12 g,15g,226,22.51 g,
5282,"Pork, unheated, separable lean only, whole, ham, cured",0.05 g,5.7g,147,22.32 g,
5283,"Pork, raw, brain, variety meats and by-products, fresh",0.00 g,9.2g,127,10.28 g,
5284,"Babyfood, dry fortified, Multigrain whole grain cereal",80.89 g,6.3g,405,6.25 g,
